"titulo","url","categoria"
"Guarujá faz novo mutirão de saúde com mais de 400 exames agendados","https://www.atribuna.com.br/cidades/guaruja/guaruja-faz-novo-mutir-o-de-saude-com-mais-de-400-exames-agendados-1.527494","Saúde pública"
"Família do litoral de São Paulo troca casa por veleiro e dá volta ao mundo com filhos pequenos","https://www.atribuna.com.br/cidades/guaruja/familia-do-litoral-de-s-o-paulo-troca-casa-por-veleiro-e-da-volta-ao-mundo-com-filhos-pequenos-1.527442","QUATRO ANOS NO MAR"
"Crise hídrica em Guarujá leva Prefeitura e Sabesp a nova reunião","https://www.atribuna.com.br/cidades/guaruja/crise-hidrica-em-guaruja-leva-prefeitura-e-sabesp-a-nova-reuni-o-1.527350","Falta de água"
"Guarujá, no litoral de São Paulo, libera agendamento de consultas pelo celular; veja como usar","https://www.atribuna.com.br/cidades/guaruja/guaruja-no-litoral-de-s-o-paulo-libera-agendamento-de-consultas-pelo-celular-veja-como-usar-1.526076","Serviço"
"Museu de Guarujá reabre com acervo que resgata a história da Cidade","https://www.atribuna.com.br/cidades/guaruja/museu-de-guaruja-reabre-com-acervo-que-resgata-a-historia-da-cidade-1.526949","reaberto"
"Morre aos 80 anos Duino Verri Fernandes, ex-vice-prefeito de Guarujá","https://www.atribuna.com.br/cidades/guaruja/morre-aos-80-anos-duino-verri-fernandes-ex-vice-prefeito-de-guaruja-1.527033","Guarujá"
"Seleção oferece 25 vagas para guarda-vidas em cidade do litoral de São Paulo; veja requisitos","https://www.atribuna.com.br/cidades/guaruja/selec-o-oferece-25-vagas-para-guarda-vidas-em-cidade-do-litoral-de-s-o-paulo-veja-requisitos-1.526818","Oportunidade"
"Guarujá encerra dia 31 pedidos de isenção e desconto no IPTU; veja quem tem direito","https://www.atribuna.com.br/cidades/guaruja/guaruja-encerra-dia-31-pedidos-de-isenc-o-e-desconto-no-iptu-veja-quem-tem-direito-1.526820","IMPOSTOS"
"Orla famosa do litoral de SP terá reforma de R$ 35 milhões; veja como vai ficar","https://www.atribuna.com.br/cidades/guaruja/orla-famosa-do-litoral-de-sp-tera-reforma-de-r-35-milh-es-veja-como-vai-ficar-1.526572","REFORMULAÇÃO"
"Guarujá recebe festival japonês que deve atrair até 20 mil pessoas","https://www.atribuna.com.br/cidades/guaruja/guaruja-recebe-festival-japones-que-deve-atrair-ate-20-mil-pessoas-1.526421","Guarujá"
"Fatec terá aulas presenciais a partir de 2027 em Guarujá, no litoral de São Paulo","https://www.atribuna.com.br/cidades/guaruja/fatec-tera-aulas-presenciais-a-partir-de-2027-em-guaruja-no-litoral-de-s-o-paulo-1.523515","Educação"
"Incêndio atinge estação da Sabesp em Guarujá; veja se abastecimento foi afetado; VÍDEO","https://www.atribuna.com.br/cidades/guaruja/incendio-atinge-estac-o-da-sabesp-em-guaruja-veja-se-abastecimento-foi-afetado-video-1.524922","CURTO-CIRCUITO"
"Ventania derruba poste, causa queda de energia e suspende aulas em Guarujá, no litoral de São Paulo; VÍDEO","https://www.atribuna.com.br/cidades/guaruja/ventania-derruba-poste-causa-queda-de-energia-e-suspende-aulas-em-guaruja-no-litoral-de-s-o-paulo-video-1.524635","Rajadas de vento"
"Transformação de lixão em área verde teve plantio de novas árvores e restauração em Guarujá","https://www.atribuna.com.br/cidades/guaruja/transformac-o-de-lix-o-em-area-verde-teve-plantio-de-novas-arvores-e-restaurac-o-em-guaruja-1.524270","Meio ambiente"
"Mãe acusa clínica de Guarujá de prestar atendimento irregular a filhas autistas; entenda","https://www.atribuna.com.br/cidades/guaruja/m-e-acusa-clinica-de-guaruja-de-prestar-atendimento-irregular-a-filhas-autistas-entenda-1.524233","Denúncia"
"Guarujá cria comitê para enfrentar crise provocada por falta de água","https://www.atribuna.com.br/cidades/guaruja/guaruja-cria-comite-para-enfrentar-crise-provocada-por-falta-de-agua-1.524406","Desabastecimento"
"Guarujá entrega mais duas escolas reformadas e amplia pacote de revitalizações","https://www.atribuna.com.br/cidades/guaruja/guaruja-entrega-mais-duas-escolas-reformadas-e-amplia-pacote-de-revitalizac-es-1.523929","Educação"
"Moradores relatam falta de água durante incêndio que matou menina de 3 anos em Guarujá","https://www.atribuna.com.br/cidades/guaruja/moradores-relatam-falta-de-agua-durante-incendio-que-matou-menina-de-3-anos-em-guaruja-1.524074","litoral de são paulo"
"Praia de Guarujá, no litoral de São Paulo, terá festival de cultura japonesa; veja dias e horários","https://www.atribuna.com.br/cidades/guaruja/praia-de-guaruja-no-litoral-de-s-o-paulo-tera-festival-de-cultura-japonesa-veja-dias-e-horarios-1.523548","Novidade"
"Fenômeno El Niño faz Guarujá antecipar plano de prevenção contra chuva intensa no litoral de São Paulo","https://www.atribuna.com.br/cidades/guaruja/fenomeno-el-ni-o-faz-guaruja-antecipar-plano-de-prevenc-o-contra-chuva-intensa-no-litoral-de-s-o-paulo-1.523545","Plano de emergência"
